AvgSpotLen	BioSample	Experiment	Instrument	MBases	MBytes	Run	SRA_Sample	Sample_Name	resident_tissue	source_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	cell_type
202	SAMN09233338	SRX4108641	Illumina HiSeq 2500	2151	784	SRR7191958	SRS3324292	GSM3148590	breast	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233338	SRX4108641	Illumina HiSeq 2500	13484	5295	SRR7191959	SRS3324292	GSM3148590	breast	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233338	SRX4108641	Illumina HiSeq 2500	1655	660	SRR7191960	SRS3324292	GSM3148590	breast	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233337	SRX4108642	Illumina HiSeq 2500	4334	1648	SRR7191961	SRS3324291	GSM3148591	breast tumor	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233337	SRX4108642	Illumina HiSeq 2500	4301	1724	SRR7191962	SRS3324291	GSM3148591	breast tumor	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233336	SRX4108643	Illumina HiSeq 2500	4440	1777	SRR7191963	SRS3324293	GSM3148592	breast tumor	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233336	SRX4108643	Illumina HiSeq 2500	5485	2254	SRR7191964	SRS3324293	GSM3148592	breast tumor	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233335	SRX4108644	Illumina HiSeq 2500	7180	2919	SRR7191965	SRS3324294	GSM3148593	breast tumor	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233335	SRX4108644	Illumina HiSeq 2500	11999	4987	SRR7191966	SRS3324294	GSM3148593	breast tumor	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233334	SRX4108645	Illumina HiSeq 2500	7089	2718	SRR7191967	SRS3324295	GSM3148594	breast tumor	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233334	SRX4108645	Illumina HiSeq 2500	8745	3453	SRR7191968	SRS3324295	GSM3148594	breast tumor	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233411	SRX4108646	Illumina HiSeq 2500	7089	2756	SRR7191969	SRS3324296	GSM3148595	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233411	SRX4108646	Illumina HiSeq 2500	13484	5461	SRR7191970	SRS3324296	GSM3148595	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233411	SRX4108646	Illumina HiSeq 2500	1486	614	SRR7191971	SRS3324296	GSM3148595	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233410	SRX4108647	Illumina HiSeq 2500	5877	2282	SRR7191972	SRS3324297	GSM3148596	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233410	SRX4108647	Illumina HiSeq 2500	12859	5124	SRR7191973	SRS3324297	GSM3148596	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233409	SRX4108648	Illumina HiSeq 2500	890	344	SRR7191974	SRS3324298	GSM3148597	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233409	SRX4108648	Illumina HiSeq 2500	11532	4672	SRR7191975	SRS3324298	GSM3148597	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233408	SRX4108649	Illumina HiSeq 2500	953	369	SRR7191976	SRS3324299	GSM3148598	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233408	SRX4108649	Illumina HiSeq 2500	12886	5175	SRR7191977	SRS3324299	GSM3148598	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233407	SRX4108650	Illumina HiSeq 2500	6808	2665	SRR7191978	SRS3324300	GSM3148599	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233407	SRX4108650	Illumina HiSeq 2500	13484	5455	SRR7191979	SRS3324300	GSM3148599	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233407	SRX4108650	Illumina HiSeq 2500	1901	779	SRR7191980	SRS3324300	GSM3148599	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233389	SRX4108651	Illumina HiSeq 2500	3916	1537	SRR7191981	SRS3324301	GSM3148600	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233389	SRX4108651	Illumina HiSeq 2500	8625	3510	SRR7191982	SRS3324301	GSM3148600	lymph node	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233388	SRX4108652	Illumina HiSeq 2500	2077	801	SRR7191983	SRS3324302	GSM3148601	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233388	SRX4108652	Illumina HiSeq 2500	4745	1857	SRR7191984	SRS3324302	GSM3148601	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233388	SRX4108652	Illumina HiSeq 2500	13484	5531	SRR7191985	SRS3324302	GSM3148601	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233388	SRX4108652	Illumina HiSeq 2500	1547	643	SRR7191986	SRS3324302	GSM3148601	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233388	SRX4108652	Illumina HiSeq 2500	97	37	SRR7191987	SRS3324302	GSM3148601	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233387	SRX4108653	Illumina HiSeq 2500	1917	741	SRR7191988	SRS3324303	GSM3148602	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233387	SRX4108653	Illumina HiSeq 2500	4403	1735	SRR7191989	SRS3324303	GSM3148602	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233387	SRX4108653	Illumina HiSeq 2500	13484	5418	SRR7191990	SRS3324303	GSM3148602	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233387	SRX4108653	Illumina HiSeq 2500	2314	936	SRR7191991	SRS3324303	GSM3148602	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233387	SRX4108653	Illumina HiSeq 2500	90	34	SRR7191992	SRS3324303	GSM3148602	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233386	SRX4108654	Illumina HiSeq 2500	4401	1769	SRR7191993	SRS3324304	GSM3148603	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233386	SRX4108654	Illumina HiSeq 2500	10275	4052	SRR7191994	SRS3324304	GSM3148603	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233386	SRX4108654	Illumina HiSeq 2500	10418	4256	SRR7191995	SRS3324304	GSM3148603	breast	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233385	SRX4108655	Illumina HiSeq 2500	3364	1282	SRR7191996	SRS3324305	GSM3148604	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233385	SRX4108655	Illumina HiSeq 2500	13484	5238	SRR7191997	SRS3324305	GSM3148604	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233385	SRX4108655	Illumina HiSeq 2500	3072	1207	SRR7191998	SRS3324305	GSM3148604	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233384	SRX4108656	Illumina HiSeq 2500	3021	1145	SRR7191999	SRS3324306	GSM3148605	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233384	SRX4108656	Illumina HiSeq 2500	13484	5254	SRR7192000	SRS3324306	GSM3148605	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233384	SRX4108656	Illumina HiSeq 2500	2995	1181	SRR7192001	SRS3324306	GSM3148605	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233383	SRX4108657	Illumina HiSeq 2500	371	146	SRR7192002	SRS3324307	GSM3148606	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233383	SRX4108657	Illumina HiSeq 2500	9722	3861	SRR7192003	SRS3324307	GSM3148606	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233383	SRX4108657	Illumina HiSeq 2500	13484	5217	SRR7192004	SRS3324307	GSM3148606	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233383	SRX4108657	Illumina HiSeq 2500	5708	2239	SRR7192005	SRS3324307	GSM3148606	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233382	SRX4108658	Illumina HiSeq 2500	144	56	SRR7192006	SRS3324308	GSM3148607	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233382	SRX4108658	Illumina HiSeq 2500	3834	1520	SRR7192007	SRS3324308	GSM3148607	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233382	SRX4108658	Illumina HiSeq 2500	7146	2773	SRR7192008	SRS3324308	GSM3148607	breast tumor	BC02	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233381	SRX4108659	Illumina HiSeq 4000	5234	1969	SRR7192009	SRS3324309	GSM3148608	breast	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233381	SRX4108659	Illumina HiSeq 4000	9199	4904	SRR7192010	SRS3324309	GSM3148608	breast	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233380	SRX4108660	Illumina HiSeq 4000	30131	10527	SRR7192011	SRS3324310	GSM3148609	breast	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233380	SRX4108660	Illumina HiSeq 4000	8651	4546	SRR7192012	SRS3324310	GSM3148609	breast	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233380	SRX4108660	Illumina HiSeq 4000	7278	3752	SRR7192013	SRS3324310	GSM3148609	breast	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233379	SRX4108661	Illumina HiSeq 4000	31760	10528	SRR7192014	SRS3324349	GSM3148610	breast	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233379	SRX4108661	Illumina HiSeq 4000	8476	4442	SRR7192015	SRS3324349	GSM3148610	breast	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233379	SRX4108661	Illumina HiSeq 4000	5331	2012	SRR7192016	SRS3324349	GSM3148610	breast	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233379	SRX4108661	Illumina HiSeq 4000	5824	3053	SRR7192017	SRS3324349	GSM3148610	breast	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233378	SRX4108662	Illumina HiSeq 4000	3480	1890	SRR7192018	SRS3324311	GSM3148611	breast tumor	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233358	SRX4108663	Illumina HiSeq 4000	30488	10657	SRR7192019	SRS3324312	GSM3148612	breast tumor	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233358	SRX4108663	Illumina HiSeq 4000	6206	3257	SRR7192020	SRS3324312	GSM3148612	breast tumor	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233358	SRX4108663	Illumina HiSeq 4000	3535	1340	SRR7192021	SRS3324312	GSM3148612	breast tumor	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233358	SRX4108663	Illumina HiSeq 4000	9366	4898	SRR7192022	SRS3324312	GSM3148612	breast tumor	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233358	SRX4108663	Illumina HiSeq 4000	3689	1399	SRR7192023	SRS3324312	GSM3148612	breast tumor	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233357	SRX4108664	Illumina HiSeq 4000	4913	2596	SRR7192024	SRS3324313	GSM3148613	breast tumor	BC03	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233355	SRX4108665	Illumina HiSeq 2500	2903	1091	SRR7192025	SRS3324314	GSM3148614	blood	BC04	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233355	SRX4108665	Illumina HiSeq 2500	6624	2553	SRR7192026	SRS3324314	GSM3148614	blood	BC04	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
100	SAMN09233355	SRX4108665	Illumina HiSeq 2500	2784	1125	SRR7192027	SRS3324314	GSM3148614	blood	BC04	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
